No.,Channel,KOL,KOL_Post,Region
1,TikTok,keepingupwiththekilics,https://www.tiktok.com/@keepingupwiththekilics/video/7335173112780180768,Europe
2,TikTok,keepingupwiththekilics,https://www.tiktok.com/@keepingupwiththekilics/video/7334730444564352289,Europe
3,Youtube,TechNuov,https://www.youtube.com/shorts/7OR6zFH1pdI,Europe
4,Youtube,CSS,https://www.youtube.com/watch?v=2WnQnTxIraI,Europe
5,Youtube,GADGET CRUNCH,https://www.youtube.com/watch?v=B2jDmstYDWk,Europe
6,Youtube,Mister Quindi,https://www.youtube.com/watch?v=Aqyml-stfrw,Europe
7,Youtube,Tech Room UK,https://www.youtube.com/watch?v=9H4vjdoqGjc,Europe
8,Youtube,Jx - Unboxing & High-Tech,https://www.youtube.com/watch?v=1r4Srd-Ksuk&t=1s,Europe
9,Youtube,I-AleX,https://www.youtube.com/watch?v=gX41J8tiEq8,Europe
10,Youtube,Giuseppe Gravante - Tech,https://www.youtube.com/watch?v=29akASqcJHA,Europe
11,Youtube,Moschuss,https://www.youtube.com/watch?v=_1GcU_-5fkY,Europe
12,Youtube,XTOM CICOS - Tech,https://www.youtube.com/watch?v=67GySjz9RPU&t=71s,Europe
13,TikTok,braindegeek,https://www.tiktok.com/@braindegeek/video/7383316816786984225,Europe
14,Youtube,I-AleX,https://www.youtube.com/watch?v=bTj5_MyELwQ&t=323s,Europe
15,Youtube,AudioTechniker,https://www.youtube.com/watch?v=yOAnHd6t_K4,Europe
16,Youtube,Chigz Tech Reviews,https://www.youtube.com/watch?v=Dwadx3Andi8,Europe
17,Youtube,Tech Geek,https://www.youtube.com/watch?v=4-LBZ6_JkVo,Europe
18,Youtube,Mr.UnboxTour,https://www.youtube.com/watch?v=s1wiihJ-C6k,Europe
19,Youtube,Tech Room UK,https://www.youtube.com/watch?v=VnNzMxlDaDA,Europe
20,Youtube,GADGET CRUNCH,https://www.youtube.com/watch?v=e2hKaHSBkt8&t=174s,Europe
21,Youtube,Tech Nuovo,https://www.youtube.com/shorts/DKI_uKrHFg4,Europe
22,Youtube,Tech Nuovo,https://www.youtube.com/watch?v=9G2gBwTTZqI,Europe
23,Youtube,I-AleX,https://www.youtube.com/shorts/doXZE4FIhZU?feature=share,Europe
24,TikTok,Braindegeek,https://www.tiktok.com/@braindegeek/video/7413445818516098337,Europe
25,Youtube,Braindegeek,https://www.youtube.com/shorts/8X2vzg_I8J8,Europe
26,TikTok,annaa_cologne,https://vm.tiktok.com/ZNewaSoyN/,Europe
27,Youtube,DirtyLama,https://www.youtube.com/watch?v=YCXAGDdc_bE,Europe
28,Youtube,Tech Room UK,https://www.youtube.com/watch?v=aw-T1845RGA,Europe
29,Youtube,I-Alex,https://www.youtube.com/watch?v=JBG2bNzVNlU,Europe
30,Youtube,DHRME,https://www.youtube.com/watch?v=CZVmBcaGX8Q,Europe
31,Youtube,Tech Nuovo,https://www.youtube.com/shorts/tRjM__zX5w8,Europe
32,Youtube,Chigz Tech Reviews,https://www.youtube.com/watch?v=MNHb4hNQPkI,Europe
33,Youtube,Chigz Tech Reviews,https://www.youtube.com/shorts/UhJN4hGXlhw,Europe
34,Youtube,Speakershocker Hi-Fi Mehr als nur Technik,https://www.youtube.com/watch?v=svzDCq7dBCw,Europe
35,Youtube,Smart Home Sounds,https://www.youtube.com/watch?v=DbQbE2sPxSY,Europe
36,Youtube,Stu’s Reviews,https://www.youtube.com/watch?v=b0MCqAWkhnY,Europe
37,Youtube,DIrtylama,https://youtu.be/WAvZGNzVjU8?si=WmUbLcgbZkXPupXz,Europe
38,Youtube,DIrtylama,https://www.youtube.com/watch?v=Ftgp2eOEbrw,Europe
39,Youtube,Mr LazyTech,https://www.youtube.com/watch?v=6uJ1Stn-r6Q&t=1s,India
40,Youtube,AB Tech Vlog,https://www.youtube.com/watch?v=VN9IHp8qdiw,India
41,Youtube,Rickyrodger,https://www.youtube.com/watch?v=t6K185yFccQ,India
42,Youtube,Tech Therapy,https://www.youtube.com/watch?v=z12_ug0lU5k,India
43,Youtube,Saurav Anuraj,https://www.youtube.com/watch?v=-1xKbtYZX9M,India
44,Instagram,gizmogyn,https://www.instagram.com/reel/C2fFAYxvUuD/?igsh=MXd5ZXNheWZkY2JnNA%3D%3D,India
45,Youtube,Mr Rude,https://www.youtube.com/watch?v=dhJN1mOtHQs&t=129s,India
46,Instagram,mrcheri,https://www.instagram.com/reel/C3LBWCTxkG4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,India
47,Instagram,technobhawesh,https://www.instagram.com/reel/C3bnW2Avak8/?igsh=dnU3Z3Bwa2FudDBi,India
48,Youtube,Techzonical,https://www.youtube.com/watch?v=4NKYTkjqDbc,India
49,Youtube,ETetra Gadgets,https://www.youtube.com/watch?v=9T1g1XDhe5A,India
50,Youtube,Techdreams,https://www.youtube.com/watch?v=xP4mhnz4R9M&t=31s,India
51,Youtube,TechFreak,https://www.youtube.com/watch?v=Gv5mNqnUMJc,India
52,Youtube,Tech Bengali,https://www.youtube.com/watch?v=0M_LMzWOSis,India
53,Youtube,Arjun Tech,https://www.youtube.com/watch?v=TxsMpZCNPJo,India
54,Youtube,WhySoTechie,https://www.youtube.com/watch?v=okg1xn-FASo,India
55,Instagram,AR7 TECH,https://www.instagram.com/reel/DDQ_OUfSxU2/,India
56,Youtube,Electrical Unboxing,https://www.youtube.com/shorts/PTWNdz736AY,India
57,Youtube,SteReo,https://www.youtube.com/shorts/1yvDIEteE3A,India
58,Instagram,SteReo,https://www.instagram.com/p/C344KrLxU-l/,India
